Teff,sf,chi2,chi2_r,vgf2,vgfb2,sf_index
14750,2.297416624230241e-25,11.708532319636317,1.064412029057847,0.9556494181446069,0.1801945319870912,113.0
14500,2.5433181802516197e-25,12.208153644991233,1.1098321495446575,1.0010771832160066,0.1972991410829925,115.0
17500,1.0716000774987575e-25,12.400060921482913,1.1272782655893556,1.018477073821856,0.20336047221258668,98.0
17250,1.1274913132483123e-25,12.496589470885757,1.1360535882623415,1.027254169468767,0.2118183848731734,99.0
14000,2.962389094809278e-25,12.658209899800653,1.150746354527332,1.0420035360831947,0.19277785733293956,118.0
13750,3.279465275190116e-25,13.006821971112883,1.182438361010262,1.073704972459398,0.21498690147398858,120.0
15000,2.18353064333531e-25,13.026009807969993,1.184182709815454,1.0754169917146357,0.199104731555654,112.0
14250,2.6759695293728e-25,13.387958464773172,1.2170871331611974,1.1083356673968543,0.18603941908509708,116.0
17000,1.1862976572543944e-25,13.419196484501706,1.2199269531365187,1.1111293730609997,0.22708090374801573,100.0
19000,7.507052601523092e-26,13.53662829436081,1.230602572214619,1.121790345972498,0.2440469537358566,91.0
18750,7.898596476468846e-26,13.631398944528094,1.2392180858661903,1.1304072034850756,0.24684282236505678,92.0
19500,6.781230747937225e-26,13.648589974655442,1.2407809067868583,1.1319661391641065,0.24421358084075512,89.0
18500,8.310562028755244e-26,13.910474341677613,1.2645885765161466,1.1557790906571694,0.2521084075426783,93.0
20000,6.125585219349525e-26,13.918620763499064,1.2653291603180967,1.1565120382465002,0.25058507011528736,87.0
13500,3.6304793688386827e-25,13.940767064239171,1.2673424603853791,1.1586193658078296,0.24600490453649984,122.0
21000,4.9983390647749615e-26,14.804967391005862,1.3459061264550785,1.2370848110098764,0.28273686296331896,83.0
13250,4.019063884370366e-25,15.11876950314575,1.374433591195068,1.2657217133527052,0.27866804873279866,124.0
23000,3.501566962098029e-26,15.732743780070567,1.4302494345518697,1.321422353063557,0.3087202325734593,76.0
22000,4.291254864790971e-26,16.202205153860103,1.4729277412600092,1.364103874975565,0.24575676291676504,80.0
25000,2.5809502117154598e-26,16.453304472142563,1.4957549520129603,1.3869241628381552,0.29522543626879066,70.0
35000,8.433528684746894e-27,17.060327668966792,1.5509388789969811,1.4421011508073598,0.32339931550455747,48.0
29000,1.4753480146869043e-26,17.114936864700088,1.5559033513363716,1.447067875037288,0.3190073918118134,59.0
36000,8.01546751267285e-27,17.852525232688308,1.6229568393353007,1.5141190169136243,0.29802530396146715,47.0
28000,1.6332603274378035e-26,18.047276842707085,1.6406615311551895,1.5318266240373448,0.38314608254200916,61.0
30000,1.332703505910315e-26,18.199394599897563,1.6544904181725058,1.5456544459801476,0.2921957769539281,57.0
32000,1.0874559338938369e-26,18.206277014981644,1.6551160922710586,1.5462792609460534,0.29081268550061606,53.0
45000,5.336851427269709e-27,18.38476732147295,1.6713424837702682,1.5625035708787856,0.30880959331362107,39.0
60000,3.55337765535439e-27,18.43842728925104,1.6762206626591856,1.5673808087422634,0.35000217568205577,31.0
38000,6.881568759457491e-27,18.599301622206415,1.690845602018765,1.5820072082890762,0.3994032070744033,44.0
70000,2.8994758395577984e-27,18.93659399057428,1.721508544597662,1.612668292694693,0.39944715291742,27.0
80000,2.4893048751998734e-27,19.118911636614115,1.7380828760558287,1.6292423658083264,0.391721191429593,24.0
11250,1.2299719572928645e-24,44.63211978749794,4.057465435227086,3.948982326105653,0.8131359358690067,146.0
10750,2.263918707727963e-24,58.26724012918943,5.297021829926312,5.188817944682967,1.1243721959590358,158.0
10500,3.2316484130669103e-24,65.37625054169527,5.9432955037904796,5.835343125932854,1.4098235149349052,165.0
10000,6.58492238530629e-24,87.5754620680302,7.9614056425482005,7.8542630533998725,1.7376548512428336,179.0
11000,1.6686990513858676e-24,107.72743426806994,9.793403115279085,7.773405579057921,0.8233442583206404,152.0
10250,2.38199747318197e-24,170.37419227680923,15.488562934255384,12.160330495808909,1.6641133872208222,159.0
11500,1.2941233642159162e-24,175.8633105785977,15.987573688963426,14.641672218140052,2.8731167871119365,147.0
11750,1.1690006204651396e-24,206.58224655124272,18.780204231931155,17.61485840623849,3.871729283641196,145.0
8500,7.952315503992814e-23,214.77162045966386,19.52469276906035,19.425970964574375,4.811485799404516,228.0
8250,1.2566600705875521e-22,229.33881957331133,20.848983597573756,20.74534944078011,4.758607421400598,237.0
12000,1.05597541040908e-24,233.7752540313773,21.2522958210343,20.239682931197695,4.662466857341689,143.0
12250,9.53878080017561e-25,256.78391911555855,23.34399264686896,22.46289511464854,5.218872976963938,141.0
8000,2.1983810212573048e-22,258.0438044988821,23.458527681716554,23.32382607321558,5.975805712491508,248.0
12500,8.616520636455956e-25,276.965753634036,25.178704875821452,24.412336124678802,5.58608225158509,139.0
9750,3.0714513266751522e-24,282.5635940726195,25.687599461147226,21.195180158009517,4.005116016575323,164.0
12750,7.783429500456128e-25,295.6783726392089,26.879852058109897,26.21353061139099,5.805532000238566,137.0
13000,7.397594604844632e-25,312.34178865936593,28.394708059942356,27.753206821117054,6.9219822469241,136.0
9500,3.577544479503457e-24,342.65421843199533,31.150383493817756,25.737321124235223,5.046801695272736,167.0
7500,7.447906275959011e-22,375.56019664682344,34.141836058802134,33.38770394788212,6.911862056853482,272.0
9250,3.9604631651991126e-24,400.0631771830259,36.369379743911445,30.57903650930924,6.072343353334467,169.0
15250,3.6304793688386827e-25,430.83061532839577,39.16641957530871,38.89832771173364,8.56489598133586,122.0
15500,3.450511704428865e-25,442.08980460547787,40.189982236861624,39.93350528570842,9.156715797556323,121.0
15750,3.279465275190116e-25,454.19699906833335,41.290636278939395,41.04530115865749,9.739396458882231,120.0
9000,4.6130417271734974e-24,454.2073098316498,41.29157362105907,34.48018434574615,6.668937698375217,172.0
16000,2.962389094809278e-25,466.10905452948435,42.373550411771305,42.1573708933118,8.943087330999512,118.0
16250,2.8155395489774065e-25,476.35690103518505,43.30517282138046,43.097852291846046,9.404668843926501,117.0
16500,2.6759695293728e-25,487.0858919455596,44.28053563141451,44.08180903271431,9.848330958742777,116.0
16750,2.5433181802516197e-25,498.09856323982,45.28168756725636,45.09111870179517,10.269721799285632,115.0
8750,5.3731478084770884e-24,515.4678573764539,46.860714306950356,38.921480167682056,7.260922694589462,175.0
17750,1.9724152638339558e-25,540.9501142247033,49.17728311133666,49.02515381147559,10.193924738977753,110.0
18000,1.874640030258666e-25,550.9106466699842,50.08278606090766,49.93599344819484,10.43515618702271,109.0
18250,1.7817116443406594e-25,560.8414115844733,50.985582871315756,50.84378436116678,10.648938955326292,108.0
19250,1.4538364246311203e-25,599.9639082929983,54.54217348118166,54.41717011808954,11.230581795967321,104.0
19750,1.3132717710249478e-25,619.1087567334072,56.28261424849156,56.16427751075525,11.36402451565752,102.0
7250,1.517612019980908e-21,638.8311861401304,58.075562376375494,55.14231999978643,9.24816133531006,286.0
24000,6.445076170113336e-26,760.5669949406598,69.14245408551453,69.035270994416,13.57817052612353,88.0
26000,4.75056478594642e-26,812.9363857341577,73.90330779401434,73.80591893339356,14.006136914571398,82.0
27000,4.07853168502787e-26,832.1672748886808,75.65157044442553,75.55673552410495,13.766360687422958,79.0
34000,2.0015999697998505e-26,876.5113744184291,79.6828522198572,79.59120596590498,15.198043389910294,65.0
7750,9.88995706029936e-24,900.8711831274381,81.89738028431256,68.22746544965084,10.13796914932806,187.0
40000,1.4022130621310942e-26,901.6964734216592,81.97240667469629,81.88042794583458,14.998801950061193,58.0
50000,9.823148987195749e-27,939.6090192673489,85.41900175157717,85.3262076364968,15.013458577300424,51.0
7000,2.3981976409212756e-21,1396.6781189634535,126.97073808758668,120.1259015685289,14.663241578590073,295.0
6750,2.1663271120474573e-21,2296.513970618521,208.77399732895645,203.65724446937895,21.85653307355977,293.0
6500,1.370881201930792e-21,2697.8635434478156,245.2603221316196,243.43135143462902,25.691586460686224,284.0
6250,8.245085038854637e-22,2815.2000495018565,255.9272772274415,255.32434556336784,26.898291103877554,274.0
6000,5.217601730240881e-22,2849.4114582205475,259.03740529277707,258.79184428000985,27.257035643081693,265.0
5750,3.301769197906878e-22,2860.160969660621,260.014633605511,259.8829195980123,27.366655605066512,256.0
5500,2.1983810212573048e-22,2863.7681127727838,260.3425557066167,260.24051207819696,27.39913280071747,248.0
5250,1.540067261220186e-22,2864.922766095551,260.4475241905047,260.35144956880634,27.40598591841914,241.0
5000,4.3204400547017143e-23,2865.77910443509,260.52537313046275,260.4214224578331,27.40297005444211,216.0
